course,openHouse,instantDecision,onCampInfo,virtualInfo,womenWhoDare,collegeFair,schoolCompsciClass,schoolCompsciClub,competitions,afterschoolCamp,summerCamp,AP,dualEnrollment,familyFriendInfluence,familyFriendWork,highschoolTeacher,employer,how_did_you_hear_about_county_college_of_morris__[ccm_web_site],age
CMP 126 Computer Technology and Applications,Yes,Yes,No,No,No,Yes,No Impact,No Impact,High Impact,,,,,Some Impact,,High Impact,,No,19-20
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,19-20
CMP 126 Computer Technology and Applications,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,No Impact,,,,,,,,,Yes,18 and younger
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,No Impact,,,,,,Some Impact,,,Some Impact,Yes,19-20
CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Yes,19-20
CMP 101 Computer Information Literacy,Not Sure,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Yes,18 and younger
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Yes,25-34
CMP 135 Computer Concepts with Applications,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,Yes,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,25-34
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,25-34
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,,High Impact,,,,Some Impact,,,,,Yes,19-20
CMP 135 Computer Concepts with Applications,Yes,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,25-34
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,,Some Impact,,,,,Some Impact,Some Impact,Some Impact,Some Impact,Yes,18 and younger
